Alcohol,Malic_Acid,Ash,Alcalinity_of_Ash,Magnesium,Total_Phenols,Flavanoids,Nonflavanoid_Phenols,Proanthocyanins,Color_Intensity,Hue,OD280/OD315_of_Diluted_Wines,Proline,Target
13.62,1.85,2.6,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.7,1.8,2.6,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.63,1.8,2.6,17.0,102,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.76,1.8,2.6,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.73,1.75,2.6,16.5,104,2.6,2.7,0.27,1.8,5.0,1.1,2.85,1150,0
13.77,1.8,2.6,18.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.6,1.9,2.6,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.82,1.85,2.55,17.0,104,2.7,2.6,0.28,1.8,5.0,1.1,2.85,1150,0
13.8,1.85,2.55,16.5,106,2.7,2.6,0.28,1.8,5.0,1.1,2.85,1150,0
13.73,1.85,2.55,16.5,104,2.7,2.6,0.28,1.8,5.0,1.1,2.85,1150,0
13.76,1.75,2.6,18.0,108,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.75,1.85,2.6,17.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.62,1.85,2.55,18.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.8,1.75,2.55,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.73,1.8,2.6,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.8,2.6,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.78,1.8,2.6,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.77,1.8,2.6,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.75,1.75,2.55,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.77,1.9,2.55,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.68,1.75,2.55,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.78,1.85,2.55,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.6,1.8,2.6,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.8,1.8,2.6,17.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.7,1.75,2.6,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.73,1.85,2.6,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.8,1.8,2.55,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.64,1.75,2.55,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.77,1.8,2.55,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.65,1.85,2.6,17.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.75,1.85,2.6,16.5,102,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.75,1.85,2.6,17.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.77,1.85,2.55,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.76,1.75,2.55,17.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.8,2.6,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.76,1.8,2.55,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.75,2.55,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.75,2.6,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.85,2.6,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.77,1.8,2.55,17.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.73,1.85,2.6,17.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.68,1.75,2.55,16.5,102,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.8,2.6,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.69,1.75,2.55,18.0,102,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.68,1.8,2.6,18.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.75,2.6,18.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.71,1.85,2.6,18.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.7,1.8,2.55,17.5,102,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.75,2.6,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.75,1.8,2.6,17.0,102,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.75,2.6,17.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.75,1.75,2.6,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.8,2.6,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.75,1.75,2.6,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.76,1.8,2.55,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.68,1.85,2.55,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.77,1.85,2.55,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.76,1.75,2.55,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.76,1.9,2.6,17.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.9,2.55,17.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.75,1.8,2.55,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.77,1.8,2.55,17.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.76,1.9,2.55,17.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.9,2.55,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.78,1.8,2.55,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.66,1.75,2.55,17.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.72,1.8,2.55,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.76,1.75,2.55,17.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.78,1.8,2.55,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.72,1.75,2.55,17.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.69,1.8,2.6,18.0,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.77,1.75,2.55,18.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.71,1.8,2.6,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.78,1.9,2.6,16.5,102,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.67,1.85,2.55,17.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.73,1.75,2.6,18.0,102,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.7,1.8,2.55,17.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.73,1.8,2.55,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.75,1.75,2.55,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.71,1.75,2.55,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.74,1.75,2.55,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.68,1.9,2.55,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.7,1.8,2.6,16.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.78,1.8,2.55,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.71,1.85,2.55,17.5,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.72,1.75,2.55,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.76,1.9,2.55,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.77,1.85,2.6,17.0,106,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.69,1.85,2.6,16.5,104,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
13.7,1.85,2.6,16.5,102,2.7,2.6,0.27,1.8,5.0,1.1,2.85,1150,0
